TIPO_ACTIVIDAD;SECC._TARIFA;EPIGRAFE;DESCRIPCION;NUMERO
EMPRESARIAL;1;5060;INSTALACION_DE_ANDAMIOS;14
LOCAL_AFECTO;1;5060;INSTALACION_DE_ANDAMIOS;2
EMPRESARIAL;1;507;CONSTRUCCION_DE_TODA_CLASE_DE_OBRAS;39
LOCAL_AFECTO;1;507;CONSTRUCCION_DE_TODA_CLASE_DE_OBRAS;5
EMPRESARIAL;1;508;AGRUPACIONES_Y_UNIONES_TEMPOR._EMPRESAS;71
EMPRESARIAL;1;611;COM._MAY._TODA_CLASE_DE_MERCANCIAS;22
EMPRESARIAL;1;6121;COM.MAY.PTOS.ALIMENTIC.BEBIDAS_Y_TABACOS;62
LOCAL_AFECTO;1;6121;COM.MAY.PTOS.ALIMENTIC.BEBIDAS_Y_TABACOS;2
EMPRESARIAL;1;6122;COM.MAY.CEREALES;28
EMPRESARIAL;1;6123;COM.MAY.FRUTAS_Y_VERDURAS;13
EMPRESARIAL;1;6124;COM.MAY._CARNES;15
EMPRESARIAL;1;6125;COM.MAY.LECHE;8
EMPRESARIAL;1;6126;COM.MAY.BEBIDAS_Y_TABACO;27
LOCAL_AFECTO;1;6126;COM.MAY.BEBIDAS_Y_TABACO;1
EMPRESARIAL;1;6127;COM.MAY._VINOS_Y_VINAGRES_DEL_PAIS;15
EMPRESARIAL;1;6128;COM.MAY._PESCADOS;39
LOCAL_AFECTO;1;6128;COM.MAY._PESCADOS;1
EMPRESARIAL;1;6129;COM.MAY.OTROS_PTOS._ALIMENT.;68
EMPRESARIAL;1;6131;COM.MAY.PTOS.TEXTILES;18
LOCAL_AFECTO;1;6131;COM.MAY.PTOS.TEXTILES;1
EMPRESARIAL;1;6132;COM.MAY.TEJIDOS_POR_METROS;10
EMPRESARIAL;1;6133;COM.MAY._PRENDAS_EXTERIORES_VESTIR;19
EMPRESARIAL;1;6134;COM.MAY.CALZADO;11
EMPRESARIAL;1;6135;COM.MAY.CAMISERIA;8
EMPRESARIAL;1;6139;COM.MAY.ACCESORIOS_VESTIDO_NCOP;8
EMPRESARIAL;1;6141;COM.MAY.PTOS.FARMACEUTICOS_Y_MEDICAMENTO;8
LOCAL_AFECTO;1;6141;COM.MAY.PTOS.FARMACEUTICOS_Y_MEDICAMENTO;1
EMPRESARIAL;1;6142;COM.MAY.PTOS.PERFUMERIA;81
LOCAL_AFECTO;1;6142;COM.MAY.PTOS.PERFUMERIA;2
EMPRESARIAL;1;6143;COM.MAY.PTOS.MANTENIMIENTO_HOGAR;15
LOCAL_AFECTO;1;6143;COM.MAY.PTOS.MANTENIMIENTO_HOGAR;1
EMPRESARIAL;1;6151;COM.MAY.VEHICULOS_Y_SUS_ACCESORIOS;59
EMPRESARIAL;1;6152;COM.MAY._DE_MUEBLES;40
LOCAL_AFECTO;1;6152;COM.MAY._DE_MUEBLES;2
EMPRESARIAL;1;6153;COM._MAY._APARATOS_ELECTRODOMESTICOS;44
LOCAL_AFECTO;1;6153;COM._MAY._APARATOS_ELECTRODOMESTICOS;2
EMPRESARIAL;1;6154;COM.MAY.APAR.Y_MAT._ELECTRONICO;65
LOCAL_AFECTO;1;6154;COM.MAY.APAR.Y_MAT._ELECTRONICO;1
EMPRESARIAL;1;6156;GALERIAS_DE_ARTE;19
EMPRESARIAL;1;6159;COM.MAY.OTROS_ART._CONSUMO_DURADERO_NCOP;13
EMPRESARIAL;1;6161;COM.MAY._CARBON;4
EMPRESARIAL;1;6162;COM.MAY._HIERRO_Y_ACERO;24
EMPRESARIAL;1;6163;COM.MAY._MINERALES;2
EMPRESARIAL;1;6164;COM.MAY._METALES_NO_FERREOS;13
EMPRESARIAL;1;6165;COM.MAY._PETROLEO_Y_LUBRICANTES;16
EMPRESARIAL;1;6166;COM.MAY.PTOS._QUIMICOS_INDUSTRIALES;16
EMPRESARIAL;1;6169;COM.MAY.PTOS.INTERINDUSTRIALES_Y_QUIMIC.;4
EMPRESARIAL;1;6171;COM.MAY.FIBRAS_TEXTILES_BRUTAS;1
EMPRESARIAL;1;6172;COM.MAY._CUEROS_Y_PIELES_EN_BRUTO;1
EMPRESARIAL;1;6173;COM.MAY._MADERA_Y_CORCHO;31
EMPRESARIAL;1;6174;COM.MAY._MATERIALES_CONSTRUCCION;76
LOCAL_AFECTO;1;6174;COM.MAY._MATERIALES_CONSTRUCCION;2
EMPRESARIAL;1;6175;COM.MAY._MAQUINARIA_PARA_MADERA_Y_METAL;32
EMPRESARIAL;1;6176;COM.MAY._MAQUINARIA_AGRICOLA;5
EMPRESARIAL;1;6177;COM.MAY._MAQUINARIA_TEXTIL;2
LOCAL_AFECTO;1;6177;COM.MAY._MAQUINARIA_TEXTIL;1
EMPRESARIAL;1;6178;COM.MAY._MAQUINAS_Y_MATERIAL_OFICINA;43
LOCAL_AFECTO;1;6178;COM.MAY._MAQUINAS_Y_MATERIAL_OFICINA;2
EMPRESARIAL;1;6179;COM.MAY.INTERINDUSTRIAL_EXCEP._QUIMICA;112
LOCAL_AFECTO;1;6179;COM.MAY.INTERINDUSTRIAL_EXCEP._QUIMICA;9
